IND,id,Parent,Xno,Plant_grain_yield_Salina_mean,Main_Panicle_WT_Combined_Mean,Main_Panicle_WT_Salina_mean,Main_Panicle_WT_Athens_Mean,Main_Head_Seed_Yield_COM_MEAN,Main_Head_Seed_Yield_Salina_MEAN,Main_Head_Seed_Yield_Athens_MEAN,1000_Seed_WT_lsmean_Combined,1000_Seed_WT_Salina_lsmean,1000_Seed_WT_Athens_Slsmean
H4.22,1,H4,22,69.98,33.65217391,33.83333333,33.45454545,18.67973043,19.43583333,17.85489091,18.383425,18.289611,18.41035
H4.23,2,H4,23,109.6658333,32.125,41,23.25,19.15574583,27.53833333,10.77315833,17.04859,17.139844,16.95734
H4.24,3,H4,24,144.9,38.70833333,51.33333333,26.08333333,20.3560913,30.74272727,10.83500833,19.264257,19.042563,19.48595
H4.25,4,H4,25,106.665,43.29166667,44.58333333,42,27.298,27.88416667,26.75692308,15.952957,15.226258,16.67966
H4.26,5,H4,26,107.587,38.70454545,47.58333333,28.05,19.21452857,32.257,7.357736364,15.879388,16.875915,14.73523
H4.28,6,H4,28,85.285,37.5,46,27.3,17.88955,27.03583333,8.743266667,17.098428,17.277836,16.91902
H4.29,7,H4,29,69.86,40.33333333,47.16666667,33.5,15.84633478,25.96181818,6.573808333,17.464971,16.928686,17.93985
H4.30,8,H4,30,104.1377778,35,42.41666667,26.1,17.36895,30.43555556,6.678090909,15.870214,15.917622,16.08641
H4.31,9,H4,31,86.2175,26.82608696,33.75,19.27272727,12.75037222,15.8125,10.30067,11.80902,9.865196,13.50425
H4.32,10,H4,32,22.70333333,16.5,13.91666667,19.6,6.003009524,6.1225,5.843688889,15.532901,15.087802,15.78559
H4.33,11,H4,33,82.02545455,51.86956522,59.5,43.54545455,27.90470435,38.18636364,18.47985,16.975898,18.289648,15.62357
H4.35,12,H4,35,110.0316667,45.73913043,58.16666667,32.18181818,28.92916667,36.41166667,21.44666667,19.979726,19.970931,19.98852
H4.46,13,H4,46,110.904,44.34782609,48.16666667,40.18181818,21.29646818,30.311,13.78435833,16.125928,15.937861,16.46709
H4.48,14,H4,48,107.7533333,42.54761905,44.58333333,39.83333333,23.20959048,27.43533333,17.57526667,19.202432,19.581687,18.794
H4.49,15,H4,49,102.2525,26.91666667,27.75,26.08333333,13.71281304,17.04166667,10.08133636,17.456103,17.690119,17.28807
H4.50,16,H4,50,34.55166667,27.76086957,36.91666667,17.77272727,12.3167125,17.57384615,6.103736364,15.758849,15.747833,15.76987
H4.53,17,H4,53,144.8966667,52.34782609,51.41666667,53.36363636,27.82275862,30.95944444,22.69,16.629828,15.707238,17.59414
H4.54,18,H4,54,123.4908333,38.33333333,50.91666667,25.75,23.03146667,31.75666667,14.30626667,17.433379,16.625599,18.24116
H4.61,19,H4,61,100.483,38.06521739,40,35.95454545,27.14742857,29.453,25.05145455,18.623357,17.650492,19.59622
H4.62,20,H4,62,84.01916667,34.33333333,40.25,28.41666667,20.694175,23.77441667,17.61393333,19.806989,19.529188,20.08479
H4.65,21,H4,65,78.075,29.625,40.08333333,19.16666667,14.30236818,20.75583333,6.55821,15.686567,17.242424,14.13439
H4.67,22,H4,67,59.24888889,36.55,35.44444444,37.45454545,14.43667619,17.96777778,11.78835,13.468192,13.423578,13.59776
H4.68,23,H4,68,148.7009091,44.4047619,60.1,30.13636364,29.88460952,41.03636364,17.61768,21.537611,22.561701,20.51428
H4.73,24,H4,73,176.6358333,50,54.41666667,45.58333333,29.38942917,39.14416667,19.63469167,17.971217,19.147331,16.7951
H4.74,25,H4,74,69.92666667,42.43478261,44,40.72727273,17.53184167,19.53083333,15.53285,17.265819,17.638619,16.89302
H4.76,26,H4,76,113.0458333,40.40909091,58.66666667,18.5,18.83173913,29.14,7.586363636,13.384346,13.875739,13.01516
H4.77,27,H4,77,116.545,35.26470588,30.75,39.27777778,12.24895882,16.365,8.590255556,16.520615,17.215838,15.1703
H4.78,28,H4,78,106.1357143,35.44736842,42.81818182,25.3125,22.89135,41.24,11.21493636,19.812681,21.14499,18.20796
H4.84,29,H4,84,119.74,37.27272727,51.75,19.9,20.37949545,32.3,8.458990909,15.423113,17.275238,13.53932
H4.85,30,H4,85,106.87,36.69565217,45,27.63636364,21.15490833,28.64416667,13.66565,16.513605,16.25615,16.77106
H4.87,31,H4,87,147.0025,49.42857143,52.75,45,28.59272727,31.9,24.624,20.387518,19.707865,21.09573
H4.88,32,H4,88,130.6583333,44.04166667,47.83333333,40.25,26.67155,30.85916667,22.48393333,19.093529,19.499963,18.6871
H4.92,33,H4,92,82.501,38.85,49.9,27.8,16.58162727,28.161,6.93215,17.033561,16.889328,17.24966
H4.94,34,H4,94,68.49333333,35.1,41,26.25,14.72687,23.71,1.252175,NA,NA,NA
H4.95,35,H4,95,158.8533333,56.73913043,60.41666667,52.72727273,32.44842917,35.87083333,29.026025,18.528766,18.985767,18.07177
H4.99,36,H4,99,121.6841667,50.29166667,60.33333333,40.25,30.66010833,39.23425,22.08596667,20.964996,20.370898,21.55909
H4.103,37,H4,103,121.5881818,39.09090909,46.63636364,31.54545455,20.41593182,25.69909091,15.13277273,20.443802,21.303487,19.58487
H4.106,38,H4,106,49.3025,29.52272727,38,19.35,12.12091739,15.63,8.292827273,18.371317,17.483092,19.25954
H4.108,39,H4,108,82.96636364,37.02173913,44.91666667,28.40909091,20.29946818,30.18727273,10.41166364,14.730315,16.071718,13.38891
H4.109,40,H4,109,161.9116667,40.20833333,54.83333333,25.58333333,27.25250417,34.83833333,19.666675,17.248255,17.654452,16.82146
H4.111,41,H4,111,144.09,51.09090909,60.16666667,40.2,35.5325,42.9575,28.1075,18.590383,17.587993,19.59277
H4.112,42,H4,112,70.21833333,31.875,42.75,21,17.97249583,25.79666667,10.148325,16.371601,18.015562,14.72764
H4.115,43,H4,115,59.441,37.17391304,40.63636364,34,21.60545455,22.902,20.525,19.106648,20.922503,17.60684
H4.116,44,H4,116,83.148,35.04545455,45.91666667,22,19.40411,26.429,12.37922,17.119759,18.064221,16.17273
H4.117,45,H4,117,80.73833333,33.5,35.41666667,31.2,15.8995125,20.15666667,11.64235833,16.457909,16.025444,16.89038
H4.118,46,H4,118,119.2166667,42.72727273,50.91666667,32.9,26.56870417,37.07566667,16.06174167,22.961328,24.484612,21.43804
H4.119,47,H4,119,78.4125,35.40909091,38.18181818,32.63636364,18.3048875,24.69916667,11.91060833,19.452372,22.108503,16.79624
H4.121,48,H4,121,79.27583333,35.175,45.58333333,19.5625,18.8462,26.4125,8.7578,18.797783,19.459463,18.48148
H4.122,49,H4,122,91.7,42.14285714,46.33333333,36.55555556,22.25341667,27.04625,17.46058333,16.488165,17.50531,15.47102
H4.123,50,H4,123,107.7208333,42.33333333,55.16666667,29.5,27.521625,34.89583333,20.14741667,20.253659,20.484893,20.02242
H4.126,51,H4,126,88.46833333,40.04166667,48,32.08333333,21.50717826,24.75916667,17.95955455,20.285727,20.281443,20.20378
H4.127,52,H4,127,82.35833333,34.56521739,49.09090909,21.25,17.9704125,25.49,10.450825,18.061122,19.025533,17.09671
H4.128,53,H4,128,74.1875,38,38.58333333,37.41666667,17.3112,21.2875,13.3349,19.687766,20.640289,18.73524
H4.129,54,H4,129,88.86333333,36.52272727,43.75,27.85,23.36611905,26.50923077,18.2585625,22.728753,22.758616,22.64005
H4.131,55,H4,131,80.38833333,32.16666667,40.25,24.08333333,16.56497826,23.64916667,8.836772727,17.345843,17.99856,16.61497
H4.132,56,H4,132,95.29416667,38.20833333,45.5,30.91666667,24.6675,28.93083333,20.40416667,20.071548,19.423979,20.71912
H4.142,57,H4,142,93.11272727,38.8,44.5,30.25,25.05802273,30.71818182,19.39786364,17.733415,19.98591,14.82996
H4.144,58,H4,144,56.525,30.475,37,20.6875,12.09333333,20.755,2.194285714,13.33769,13.176209,13.71565
H4.146,59,H4,146,117.9725,54.23809524,63.16666667,42.33333333,29.59307826,42.18727273,18.0484,16.820617,15.592761,18.04847
H4.148,60,H4,148,84.97,42.11818182,48.05,35,23.27603333,29.81666667,16.7354,20.130757,20.268195,19.99332
H4.149,61,H4,149,77.4175,29.4047619,35.16666667,21.72222222,12.80189524,19.40166667,4.0022,16.263943,17.355899,15.24849
H4.153,62,H4,153,96.184,34.3,44.83333333,18.5,15.13867619,29.123,2.425654545,19.081259,20.832857,17.65745
H4.155,63,H4,155,136.525,46.56521739,59.58333333,32.36363636,26.92981667,37.17083333,16.6888,19.536537,20.098044,18.97503
H4.158,64,H4,158,117.0181818,35.04166667,40.33333333,29.75,16.44784348,26.10909091,7.5917,17.114749,18.404835,15.67348
H4.159,65,H4,159,81.116,27.3,37.75,11.625,9.655835714,23.99,1.692411111,13.544878,15.012734,12.09862
H4.162,66,H4,162,106.2,36.61363636,39.25,33.45,17.74713,23.128,12.36626,17.691588,17.721444,18.01997
H4.166,67,H4,166,95.065,41,44.08333333,37.63636364,17.08397391,24.005,9.533763636,15.840784,16.456871,15.16032
H4.173,68,H4,173,104.72,41.75,41.41666667,42.08333333,24.80565217,24.22636364,25.33666667,19.940181,19.635105,20.60675
H4.174,69,H4,174,135.6283333,38.82608696,53.91666667,22.36363636,20.830064,31.2475,11.21396923,16.722904,19.395446,14.05036
H4.175,70,H4,175,125.3991667,46.34782609,57.27272727,36.33333333,26.59998333,36.47,16.72996667,20.558813,21.208659,19.90897
H4.177,71,H4,177,107.2991667,37.20833333,40.08333333,34.33333333,20.8335375,25.4825,16.184575,18.951492,18.990962,18.91202
H4.201,72,H4,201,120.127,45.71428571,53.83333333,34.88888889,22.91265263,34.72444444,12.28204,16.082151,16.174236,15.93208
H4.202,73,H4,202,57.6625,34.52173913,29.41666667,40.09090909,10.04669444,17.33875,4.21305,10.231027,8.908281,11.6549
H4.205,74,H4,205,14.85875,19.125,18.81818182,19.5,3.017441176,5.0325,1.226277778,9.571689,7.948837,11.48782
H4.206,75,H4,206,53.26,36.30434783,40.75,31.45454545,14.8771,20.383,10.28885,17.124609,14.181058,19.23812
