the.table.of.results.traits,unlist.the.table.of.results.RR.BLUP.PA.,unlist.the.table.of.results.Multi.BLUP.PA.
Main_Head_Seed_Yield_Combined_MEAN,0.229118362,0.2310511
Main_Head_Seed_Yield_salina_MEAN,0.255214394,0.158282613
Plant_grain_yield_Salina_mean,0.082576018,0.027073899
Main_Head_Seed_Yield_Athens_MEAN,0.419773791,0.424515737
X1000_Seed_WT_lsmean_Combined,0.392560675,0.38472471
X1000_Seed_WT_Athens_lsmean,0.400966237,0.396788623
X1000_Seed_WT_Salina_lsmean,0.377629559,0.383923629
Main_Panicle_WT_Combined_Mean,0.378521894,0.371212807
Main_Panicle_WT_Athens_Mean,0.373746618,0.379200702
Main_Panicle_WT_Salina_mean,0.314968168,0.314687756
